Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.00,2.00,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,2.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,2.00,FALSE
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.20,0.00,4.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,2.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,4.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,4.00,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.00,8.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,8.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,12.00,FALSE
SLD_DEB_RAU_10.07.335,Dust Excluding Brush - Dark Brown,Dust Excluding Brush - Dark Brown,0.74,0.00,10.00,FALSE
SLD_CRS_RAU_13.33.040,Cross Strips (Dividing Rail Glued) - Light Bronze,Cross Strips (Dividing Rail Glued) - Light Bronze,8.97,0.00,1.00,FALSE
SLD_BRB_RAU_15.04.040,Bottom rail - Light Bronze,Bottom rail - Light Bronze,30.36,0.00,1.00,FALSE
SLD_BTLB_RAU_15.05.040,Bottom Track Double Surface Light Bronze,Bottom Track Double Surface Light Bronze,19.29,0.00,1.00,FALSE
SLD_TRLB_RAU_15.12.040,Top Rail - Light Bronze,Top Rail - Light Bronze,15.73,0.00,1.00,FALSE
SLD_TTLB_RAU_15.25.040,Top Track Double S34 40mm Light Bronze,"Top Track Double S34, 40mm Light Bronze",36.87,0.00,1.00,FALSE
SLD_753B_RAU_15.31.042,S753 - Light Bronze,S753 - Light Bronze,23.85,0.00,2.00,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.00,1.00,FALSE
