Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_LAC_CAR_CGR_1070,Classic Grey Lacobel Glass 2550 x 1070,None,120.0,0.0,3.0,FALSE
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.2,0.0,6.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.0,3.0,FALSE
SLD_STP_RAU_10.01.034,Stopper for Bottom Track - Black,Stopper for Bottom Track - Black,1.08,0.0,1.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0.0,12.0,FALSE
SLD_ACJ_RAU_10.01.060,Adjustable Connection Joint,Adjustable Connection Joint,7.58,0.0,1.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.0,6.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.0,6.0,FALSE
SLD_GSK_RAU_10.01.262,Glider and Socket (Comfort),Glider and Socket (Comfort),15.52,0.0,1.0,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.0,12.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.0,12.0,FALSE
SLD_IPS_RAU_10.08.040,Installation Plate for Socket,Installation Plate for Socket,4.79,0.0,1.0,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.0,12,FALSE
SLD_DEB_RAU_10.07.220,Dust Excluding Brush - Black,Dust Excluding Brush - Black,0.74,0.0,14,FALSE
SLD_CRS_RAU_13.33.065,Cross Strips (Dividing Rail Glued) - Black Mat,Cross Strips (Dividing Rail Glued) - Black Mat,11.18,0.0,1,FALSE
SLD_BRB_RAU_15.04.065,Bottom rail - Black Mat,Bottom rail - Black Mat,36.77,0.0,1,FALSE
SLD_BTMB_RAU_15.05.065,Bottom Track Double Surface Black Mat,Bottom Track Double Surface Black Mat,21.88,0.0,1,FALSE
SLD_TRBM_RAU_15.12.065,Top Rail - Black Mat,Top Rail - Black Mat,18.76,0.0,1,FALSE
SLD_TTBM_RAU_15.25.065,Top Track Double S34 40mm Black Mat,"Top Track Double S34, 40mm Black Mat",38.12,0.0,1,FALSE
SLD_753M_RAU_15.31.065,S753 - Black Mat,S753 - Black Mat,23.6,0.0,3,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.0,1,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0.0,6.0,FALSE
HAN_PUL_HAF_101.21.012,Harlington 240mm Pull Matt Black,Harlington 240mm Pull Handle knurled Matt Black,3.5,0.0,6.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0.0,3.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0.0,7.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.0,14.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0.0,14.0,FALSE
