Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.0,3.0,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.0,3.0,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.0,3.0,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.2,0.0,6.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.0,3.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0.0,12.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.0,6.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.0,6.0,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.0,18.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.0,12.0,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.0,19,FALSE
SLD_DEB_RAU_10.07.120,Dust Excluding Brush - White,Dust Excluding Brush - White,0.74,0.0,14,FALSE
SLD_CRS_RAU_13.33.060,Cross Strips (Dividing Rail Glued) - White,Cross Strips (Dividing Rail Glued) - White,9.12,0.0,2,FALSE
SLD_BRW_RAU_15.04.060,Bottom rail - White,Bottom rail - White,29.93,0.0,1,FALSE
SLD_BTWH_RAU_15.05.060,Bottom Track Double Surface White,Bottom Track Double Surface White,19.29,0.0,1,FALSE
SLD_WHIT_RAU_15.11.063,S751 - White,S751 - White,24.27,0.0,3,FALSE
SLD_TRWH_RAU_15.12.060,Top Rail - White,Top Rail - White,15.46,0.0,1,FALSE
SLD_TTWH_RAU_15.25.060,Top Track Double S34 40mm White,"Top Track Double S34, 40mm White",32.92,0.0,1,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.0,2,FALSE
