Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.0,2.0,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.0,2.0,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.0,2.0,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.2,0.0,4.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.0,2.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0.0,8.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.0,4.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.0,4.0,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.0,8.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.0,8.0,FALSE
SLD_DEB_RAU_10.07.020,Dust Excluding Brush - Grey,Dust Excluding Brush - Grey,0.74,0.0,8,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.0,12,FALSE
SLD_CRS_RAU_13.33.020,Cross Strips (Dividing Rail Glued) - Silver,Cross Strips (Dividing Rail Glued) - Silver,7.19,0.0,1,FALSE
SLD_BRS_RAU_15.04.020,Bottom rail - Silver,Bottom rail - Silver,25.48,0.0,1,FALSE
SLD_BTSI_RAU_15.05.020,Bottom Track Double Surface Silver,Bottom Track Double Surface Silver,15.77,0.0,1,FALSE
SLD_ANSI_RAU_15.11.022,S751 - Anodised Silver,S751 - Anodised Silver,21.48,0.0,2,FALSE
SLD_TRSI_RAU_15.12.020,Top Rail - Silver,Top Rail - Silver,13.31,0.0,1,FALSE
SLD_TTSI_RAU_15.25.020,Top Track Double S34 40mm Silver,"Top Track Double S34, 40mm Silver",30.98,0.0,1,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.0,1,FALSE
DRW_SET_HAF_516.20.304,Matrix Drawer - 450mmD x 89mmH Black,Matrix Box S Slim Drawer Set 35 kg 89 mm High Soft and Smooth Closing,11.0,0.0,2.0,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0.0,4.0,FALSE
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing,14.75,0.0,2.0,FALSE
HAN_PUL_HAF_101.21.001,Barchester 240mm Pull Satin Nickel,Barchester 240mm Pull Handle knurled Satin Nickel,2.45,0.0,8.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0.0,2.0,FALSE
LGT_RCH_TLW_C01-2045ANNW-450,PIR Bar Light - Nat. White - Aluminium - 450mm,PIR Bar Light - Nat. White - Aluminium - 450mm,15.68,0.0,2.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0.0,5.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.0,10.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0.0,10.0,FALSE
