BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U899ST9_18_,2800,100,2,N,BFS-PO-411293,21749,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U899ST9_18_,2800,79,1,N,BFS-PO-411293,21749,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U899ST9_18_,2800,65,1,N,BFS-PO-411293,21749,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
